x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,D,U
210.54,7.35,21.0,0.81,0.0,0.05,2.08,0.79,0.81,0.09,5.0,1273.34,45.0,49.0,3.0,0.0,403.0,4.0,0.5,0.0,145.0,0.262987012987013
176.42,4.85,8.0,0.89,0.03,0.0,1.63,0.79,1.02,0.64,49.0,4653.6,60.0,57.0,1.0,3.0,981.0,2.0,0.19,0.0,413.0,0.3282509505703422
294.21,4.98,4.0,0.97,0.0,0.03,1.43,0.72,1.17,0.36,9.0,7262.5,45.0,26.0,3.0,1.0,367.0,4.0,0.89,1.0,768.0,0.1907525291495199
113.42,6.84,27.0,0.75,0.04,0.02,4.41,0.97,1.09,0.05,8.0,3771.29,45.0,57.0,2.0,3.0,158.0,8.0,0.85,1.0,178.0,0.11813329456478845
410.99,9.43,4.0,0.81,0.07,0.03,0.81,0.71,1.2,0.95,7.0,5592.0,60.0,52.0,3.0,2.0,484.0,2.0,0.56,0.0,591.0,0.3408374232268559
83.55,1.58,5.0,0.74,0.08,0.02,0.91,0.72,1.16,0.57,37.0,382.85,45.0,21.0,3.0,2.0,783.0,4.0,0.97,1.0,557.0,0.3564397905759163
494.1,8.42,1.0,0.89,0.09,0.03,2.86,0.69,1.0,0.48,36.0,4672.16,30.0,9.0,3.0,3.0,687.0,8.0,0.93,0.0,809.0,0.1781772738044154
397.51,3.63,17.0,0.92,0.06,0.04,1.72,0.66,0.99,0.86,3.0,2501.5,15.0,9.0,3.0,3.0,902.0,7.0,0.9,1.0,526.0,0.3179411764705883
139.42,5.0,2.0,0.98,0.03,0.03,2.11,0.75,1.05,0.94,8.0,5212.05,30.0,29.0,2.0,3.0,637.0,9.0,0.13,0.0,369.0,0.30565916398713827
52.48,1.2,8.0,0.78,0.09,0.01,4.03,0.87,0.84,0.22,5.0,5305.75,30.0,15.0,0.0,0.0,451.0,2.0,0.29,1.0,669.0,0.09513020531519405
416.96,3.71,7.0,0.99,0.08,0.03,4.52,0.9,1.04,0.81,5.0,7556.27,90.0,17.0,3.0,2.0,17.0,4.0,0.41,0.0,246.0,0.011402439024390245
368.09,5.52,15.0,0.72,0.06,0.01,3.95,0.93,0.99,0.83,17.0,5444.43,60.0,53.0,1.0,3.0,238.0,9.0,0.83,0.0,77.0,0.13672727272727273
378.05,1.51,26.0,0.88,0.07,0.0,1.17,0.68,1.06,0.05,47.0,6181.26,60.0,55.0,3.0,3.0,79.0,6.0,0.87,1.0,752.0,0.039620060790273554
397.07,5.42,25.0,0.72,0.09,0.02,4.9,0.61,1.03,0.71,27.0,5343.5,30.0,50.0,1.0,1.0,712.0,9.0,0.75,1.0,159.0,0.11105084745762711
83.32,9.34,5.0,0.97,0.07,0.02,1.82,0.99,0.92,0.06,40.0,9904.74,60.0,55.0,1.0,1.0,683.0,9.0,0.47,1.0,490.0,0.3198936170212765
211.31,1.95,2.0,0.86,0.04,0.02,0.85,0.61,1.04,0.59,39.0,7937.03,90.0,47.0,3.0,0.0,698.0,7.0,0.16,1.0,424.0,0.4462702702702702
102.14,7.88,7.0,0.9,0.07,0.04,2.5,0.98,0.95,0.67,49.0,7580.89,15.0,19.0,3.0,0.0,49.0,7.0,0.04,1.0,946.0,0.012386892177589849
438.4,4.69,8.0,0.95,0.0,0.02,3.63,0.93,0.88,0.37,12.0,6309.87,45.0,14.0,1.0,2.0,863.0,8.0,0.7,0.0,230.0,0.20518358531317493
330.48,6.9,28.0,0.75,0.04,0.02,0.42,0.96,1.07,0.88,28.0,5330.87,60.0,28.0,2.0,2.0,38.0,2.0,0.99,1.0,270.0,0.07136150234741785
198.9,3.34,7.0,0.71,0.04,0.0,3.17,0.75,0.92,0.8,4.0,3513.1,30.0,44.0,0.0,3.0,530.0,10.0,0.35,0.0,275.0,0.16345323741007195
78.6,2.44,7.0,0.96,0.02,0.03,4.29,0.68,1.16,0.93,28.0,7861.28,60.0,33.0,1.0,2.0,286.0,12.0,0.57,1.0,468.0,0.10868304977945811
189.94,2.44,28.0,0.79,0.0,0.03,1.31,0.84,0.88,0.31,25.0,1977.13,30.0,32.0,2.0,3.0,297.0,7.0,0.81,0.0,635.0,0.15995500562429696
196.33,1.63,14.0,0.74,0.01,0.02,3.47,0.9,1.04,0.02,36.0,461.83,45.0,29.0,0.0,0.0,593.0,6.0,0.19,1.0,686.0,0.1416739389907449
378.32,2.67,21.0,0.84,0.07,0.04,2.0,0.65,1.03,0.81,42.0,7011.9,60.0,45.0,0.0,0.0,192.0,7.0,0.83,1.0,65.0,0.26039999999999996
336.9,6.98,18.0,0.88,0.08,0.03,2.07,0.92,0.88,0.22,3.0,1534.03,45.0,37.0,0.0,0.0,948.0,6.0,0.63,0.0,863.0,0.26371335504885995
449.25,8.94,6.0,0.71,0.1,0.02,1.4,0.68,0.98,0.47,31.0,9047.88,30.0,35.0,3.0,1.0,531.0,11.0,0.57,1.0,417.0,0.26625000000000004
262.5,8.33,4.0,0.78,0.03,0.03,3.12,0.8,1.07,0.82,37.0,7729.75,90.0,7.0,3.0,2.0,698.0,3.0,0.76,1.0,478.0,0.18364077669902915
103.82,7.17,10.0,0.71,0.06,0.03,1.8,0.94,0.93,0.22,12.0,6062.22,90.0,16.0,1.0,0.0,608.0,5.0,0.24,0.0,877.0,0.16524645707769992
370.96,1.99,18.0,0.83,0.09,0.03,4.15,0.68,0.85,0.31,37.0,3207.85,15.0,53.0,3.0,0.0,93.0,3.0,0.61,0.0,771.0,0.017690529258433757
392.35,3.6,12.0,0.97,0.02,0.01,4.81,0.7,1.05,0.44,37.0,6415.63,30.0,52.0,2.0,0.0,406.0,6.0,0.24,0.0,252.0,0.16361445783132533
302.57,3.79,16.0,0.99,0.07,0.01,4.68,0.63,0.89,0.27,4.0,4820.88,30.0,10.0,0.0,2.0,95.0,3.0,0.18,0.0,921.0,0.01671990411524522
396.94,3.25,25.0,0.89,0.08,0.01,0.82,0.66,1.07,0.46,30.0,2982.37,30.0,37.0,0.0,2.0,306.0,12.0,0.62,0.0,523.0,0.26322442375979666
272.21,5.64,7.0,0.75,0.01,0.03,0.07,0.66,1.14,0.01,38.0,9456.28,90.0,10.0,0.0,1.0,728.0,2.0,0.27,0.0,664.0,0.6939252336448597
285.23,5.82,6.0,0.97,0.09,0.04,2.19,0.68,0.85,0.21,42.0,1702.71,90.0,35.0,3.0,1.0,296.0,11.0,0.71,0.0,178.0,0.2767084639498433
242.39,4.21,28.0,0.85,0.08,0.02,3.64,0.71,0.98,0.83,38.0,7558.5,90.0,15.0,3.0,1.0,118.0,4.0,0.51,0.0,584.0,0.03405320028341993
61.44,4.18,5.0,0.75,0.0,0.01,4.89,0.93,0.98,0.41,27.0,8020.38,60.0,21.0,3.0,1.0,553.0,9.0,0.69,1.0,442.0,0.1273344651952462
98.55,8.46,3.0,0.98,0.01,0.04,3.92,0.97,1.05,0.64,22.0,9522.77,60.0,50.0,2.0,0.0,950.0,1.0,0.89,0.0,675.0,0.1971951219512195
64.14,8.1,12.0,0.93,0.0,0.04,2.9,0.76,0.93,0.23,1.0,5539.22,90.0,47.0,3.0,3.0,22.0,8.0,0.14,1.0,871.0,0.006023138744149078
336.38,3.77,15.0,0.92,0.03,0.04,0.13,0.65,0.97,0.65,48.0,5395.26,45.0,9.0,3.0,1.0,386.0,5.0,0.07,1.0,776.0,0.3928318584070797
191.46,9.22,10.0,0.91,0.05,0.03,4.13,0.69,0.8,1.0,43.0,9210.86,60.0,21.0,3.0,3.0,418.0,2.0,0.4,0.0,587.0,0.12000126190926871
278.86,9.58,26.0,0.76,0.05,0.04,0.89,0.89,0.85,0.6,38.0,8030.82,60.0,59.0,2.0,0.0,734.0,9.0,0.72,1.0,895.0,0.3132913599952706
458.4,3.94,20.0,0.76,0.03,0.0,0.28,0.87,1.03,0.63,20.0,7660.0,60.0,17.0,3.0,0.0,973.0,2.0,0.89,1.0,294.0,0.5759375
162.18,4.19,19.0,0.91,0.09,0.01,4.25,0.99,0.89,0.11,18.0,7912.46,60.0,12.0,1.0,2.0,639.0,11.0,0.03,1.0,463.0,0.15773333333333334
234.67,5.55,16.0,0.77,0.04,0.0,2.83,0.61,0.86,0.4,6.0,4982.49,15.0,53.0,3.0,3.0,627.0,11.0,0.79,1.0,197.0,0.19300261096605742
390.0,9.47,28.0,0.83,0.0,0.04,0.64,0.9,0.93,0.86,49.0,510.04,60.0,13.0,1.0,3.0,24.0,3.0,0.08,1.0,714.0,0.01701168272186923
152.96,8.89,11.0,0.93,0.03,0.0,1.93,0.8,0.87,0.83,12.0,2062.82,45.0,57.0,2.0,0.0,841.0,1.0,0.58,1.0,305.0,0.3078839590443686
84.64,1.92,8.0,0.94,0.05,0.02,0.43,0.96,0.82,0.52,17.0,6465.62,15.0,52.0,1.0,2.0,734.0,1.0,0.34,0.0,532.0,0.6244755244755245
180.39,4.53,3.0,0.84,0.04,0.02,3.19,0.83,0.91,0.9,22.0,4022.04,60.0,10.0,2.0,1.0,197.0,2.0,0.02,1.0,701.0,0.05408598013747834
122.55,5.98,23.0,0.94,0.03,0.02,1.41,0.78,0.87,0.14,18.0,6107.03,30.0,27.0,3.0,1.0,243.0,2.0,0.1,1.0,391.0,0.23513217518650972
468.36,5.53,7.0,0.95,0.01,0.04,4.33,0.87,1.12,0.66,10.0,5561.61,15.0,7.0,3.0,2.0,894.0,6.0,0.35,1.0,352.0,0.17645403377110694
413.65,2.74,23.0,0.9,0.08,0.01,1.79,0.93,0.83,0.25,24.0,4442.74,60.0,29.0,1.0,2.0,785.0,11.0,0.95,0.0,611.0,0.29677419354838713
335.03,8.73,29.0,0.77,0.1,0.02,2.47,0.71,1.1,0.65,20.0,2423.81,45.0,19.0,3.0,1.0,744.0,8.0,0.15,1.0,232.0,0.1997118155619597
442.16,7.09,7.0,0.78,0.03,0.04,0.32,0.64,0.95,0.09,12.0,7217.7,90.0,49.0,1.0,0.0,467.0,12.0,0.27,0.0,344.0,0.5731818181818182
411.65,8.54,14.0,0.79,0.04,0.0,1.38,0.77,1.07,0.94,4.0,9099.55,60.0,34.0,2.0,0.0,734.0,4.0,0.99,0.0,466.0,0.31865546218487395
133.96,8.73,2.0,0.74,0.06,0.03,3.38,0.69,0.82,0.79,42.0,7722.64,30.0,35.0,3.0,2.0,154.0,3.0,0.48,1.0,457.0,0.053516781071710484
451.65,7.74,10.0,0.78,0.07,0.04,3.68,0.77,1.17,0.2,5.0,1288.38,45.0,24.0,3.0,0.0,526.0,2.0,0.26,1.0,747.0,0.10914323962516732
292.7,4.95,19.0,0.76,0.04,0.05,1.21,1.0,1.11,0.64,26.0,5425.7,15.0,29.0,3.0,0.0,150.0,1.0,0.62,0.0,624.0,0.07935955447267665
413.35,6.49,26.0,0.84,0.09,0.04,2.52,0.83,0.86,0.76,36.0,8370.13,45.0,34.0,0.0,3.0,542.0,8.0,0.44,0.0,346.0,0.2171590909090909
453.24,2.44,9.0,0.97,0.06,0.02,4.09,0.88,0.89,0.21,16.0,5950.72,60.0,15.0,0.0,1.0,638.0,7.0,0.86,1.0,364.0,0.17913555992141453
193.1,7.06,16.0,0.73,0.05,0.03,1.9,0.87,1.06,0.09,5.0,4451.73,30.0,59.0,1.0,2.0,901.0,11.0,0.01,0.0,365.0,0.23913793103448278
99.52,2.61,19.0,0.92,0.06,0.0,0.67,0.93,1.17,0.35,26.0,2917.01,45.0,49.0,0.0,1.0,124.0,2.0,1.0,0.0,908.0,0.07071882666385293
152.57,7.25,18.0,0.91,0.1,0.01,2.16,0.98,0.98,0.14,19.0,3370.87,45.0,12.0,3.0,3.0,53.0,12.0,0.07,0.0,241.0,0.05699747885918378
242.2,3.07,9.0,0.73,0.08,0.0,3.0,0.86,0.99,0.57,6.0,2497.35,90.0,22.0,0.0,0.0,213.0,7.0,0.54,1.0,276.0,0.129575
418.11,2.06,16.0,0.98,0.0,0.02,0.04,0.79,0.9,0.42,24.0,2037.69,90.0,43.0,1.0,0.0,482.0,12.0,0.7,1.0,805.0,0.5642140468227423
437.33,2.49,13.0,0.87,0.03,0.04,1.74,0.73,0.95,0.46,31.0,5929.76,60.0,7.0,0.0,3.0,318.0,6.0,0.55,1.0,199.0,0.307992700729927
53.13,1.02,10.0,0.81,0.05,0.02,3.04,0.74,0.91,0.54,31.0,5142.91,15.0,28.0,2.0,1.0,933.0,8.0,0.3,1.0,57.0,0.19047029702970297
279.84,7.47,25.0,0.93,0.03,0.03,4.76,0.73,0.94,0.98,7.0,7374.85,15.0,52.0,2.0,3.0,331.0,6.0,0.86,1.0,293.0,0.15661458333333333
237.83,7.59,20.0,0.78,0.07,0.02,2.04,0.73,0.81,0.79,10.0,3148.5,30.0,29.0,0.0,0.0,414.0,4.0,0.43,0.0,823.0,0.12003405384664578
149.95,5.63,14.0,0.91,0.08,0.02,0.81,0.88,0.82,0.63,39.0,4662.16,60.0,27.0,2.0,0.0,370.0,8.0,0.3,1.0,969.0,0.1766154091761741
103.94,2.45,12.0,0.71,0.07,0.05,2.67,0.84,1.07,0.36,22.0,6835.67,15.0,57.0,2.0,1.0,135.0,1.0,0.77,0.0,64.0,0.17991825613079018
201.93,1.75,25.0,0.95,0.1,0.01,1.43,0.68,1.07,0.03,14.0,9636.01,45.0,37.0,0.0,0.0,129.0,10.0,0.15,1.0,348.0,0.1304278416347382
474.31,1.17,19.0,0.83,0.03,0.03,1.07,0.99,0.93,0.12,28.0,3553.82,60.0,44.0,2.0,1.0,223.0,1.0,0.21,0.0,128.0,0.3889371980676328
195.44,2.49,7.0,0.89,0.09,0.02,2.95,0.77,1.15,0.73,42.0,3052.27,45.0,34.0,1.0,2.0,834.0,4.0,0.25,0.0,11.0,0.2050379746835443
283.46,9.02,23.0,0.77,0.08,0.0,4.58,0.83,0.91,0.37,22.0,4547.95,30.0,50.0,1.0,0.0,320.0,1.0,0.43,1.0,233.0,0.12695340501792116
366.36,3.17,15.0,0.9,0.04,0.02,4.18,0.88,0.96,0.33,32.0,7266.35,60.0,33.0,3.0,0.0,651.0,5.0,0.02,1.0,757.0,0.14343960869720448
213.63,4.19,16.0,0.93,0.07,0.04,0.91,0.85,1.09,0.89,11.0,9619.35,30.0,45.0,1.0,1.0,615.0,11.0,0.99,0.0,212.0,0.4528272251308901
487.3,1.95,27.0,0.84,0.01,0.0,3.83,0.72,1.1,0.48,14.0,5411.71,90.0,48.0,3.0,2.0,74.0,9.0,0.6,1.0,665.0,0.019159202353710363
483.1,3.0,8.0,0.89,0.08,0.0,1.15,0.92,1.14,0.9,31.0,8143.16,30.0,48.0,3.0,0.0,375.0,9.0,0.97,0.0,20.0,0.3808372093023256
163.3,5.67,10.0,0.84,0.05,0.01,1.45,0.64,0.81,0.89,44.0,4697.56,90.0,19.0,0.0,0.0,214.0,9.0,0.81,0.0,268.0,0.2600852878464818
273.76,6.47,4.0,0.97,0.03,0.04,4.6,0.83,0.87,0.08,4.0,494.59,60.0,38.0,2.0,2.0,908.0,6.0,0.13,0.0,960.0,0.15891688988095237
185.4,3.21,19.0,0.85,0.07,0.04,4.56,0.71,1.06,0.95,45.0,8952.69,45.0,13.0,0.0,0.0,196.0,12.0,0.21,1.0,307.0,0.09077051062732874
178.18,1.52,19.0,0.95,0.06,0.03,0.84,0.85,0.94,0.08,22.0,2969.79,45.0,57.0,3.0,1.0,733.0,1.0,0.03,0.0,678.0,0.48532608695652174
66.6,4.52,28.0,0.94,0.02,0.02,0.32,0.69,0.82,0.96,29.0,1472.79,45.0,39.0,0.0,2.0,712.0,10.0,0.83,0.0,206.0,0.6978787878787878
324.3,3.11,21.0,0.82,0.0,0.04,1.47,0.91,1.03,0.45,35.0,9962.0,30.0,53.0,2.0,2.0,270.0,5.0,0.59,1.0,613.0,0.1462245147314264
